filename,source_file,agent_type,content_type,total_messages,categories_used_count,categories_used,message_categories_count,message_categories,count_other,extracted_categories_count,stat_HR,stat_human resources,stat_employee assistant,stat_appointment scheduling,stat_support,stat_other,stat_assistant,stat_customer support,stat_banking,stat_financial services,stat_conversational AI,stat_financial advisor,stat_security
categorization_analysis_50_HR_messages_user_and_assistant_content_20251016_164839.json,50_HR_messages_user_and_assistant_content,HR,user_and_assistant,100,6,"HR, human resources, employee assistant, appointment scheduling, support, other",6,"HR, human resources, employee assistant, appointment scheduling, support, other",3,5,70.0,15.0,10.0,0.0,2.0,3.0,,,,,,,
categorization_analysis_15_HR_messages_15_HR_messages_only_user_content_20251016_145303.json,15_HR_messages_15_HR_messages_only_user_content,HR,user_only,30,6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",7,5,33.3,20.0,13.3,6.7,,6.7,20.0,,,,,,
categorization_analysis_20_bank_messages_only_assistant_content_20251016_190648.json,20_bank_messages_only_assistant_content,Bank,assistant_only,52,6,"customer support, banking, financial services, conversational AI, financial advisor, other",6,"customer support, banking, financial services, conversational AI, financial advisor, other",0,5,,,,,,4.8,,42.9,33.3,14.3,4.8,0.0,
categorization_analysis_50_non_HR_messages_only_assistant_content_20251016_181138.json,50_non_HR_messages_only_assistant_content,HR,assistant_only,118,6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",0,5,16.4,16.4,16.4,0.0,,34.5,16.4,,,,,,
categorization_analysis_50_HR_messages_50_HR_messages_only_assistant_content_20251016_180952.json,50_HR_messages_50_HR_messages_only_assistant_content,HR,assistant_only,100,6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",0,5,70.0,10.0,10.0,0.0,,4.0,6.0,,,,,,
categorization_analysis_10_HR_messages_10_HR_messages_user_and_assistant_content_20251016_145330.json,10_HR_messages_10_HR_messages_user_and_assistant_content,HR,user_and_assistant,20,6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",3,5,50.0,25.0,12.5,0.0,,6.25,6.25,,,,,,
categorization_analysis_50_non_HR_messages_only_user_content_20251016_171116.json,50_non_HR_messages_only_user_content,HR,user_only,118,6,"HR, human resources, employee assistant, appointment scheduling, support, other",6,"HR, human resources, employee assistant, appointment scheduling, support, other",54,5,16.7,16.7,16.7,5.0,0.0,44.9,,,,,,,
categorization_analysis_20_bank_messages_20_bank_messages_only_user_content_20251016_145337.json,20_bank_messages_20_bank_messages_only_user_content,Bank,user_only,52,6,"banking, customer support, financial services, security, assistant, other",6,"banking, customer support, financial services, security, assistant, other",5,5,,,,,,3.8,7.7,15.4,35.0,15.4,,,23.1
categorization_analysis_10_HR_messages_not_related_20251016_154305.json,10_HR_messages_not_related,HR,unknown,22,6,"HR, human resources, employee assistant, appointment scheduling, support, other",6,"HR, human resources, employee assistant, appointment scheduling, support, other",10,5,16.7,0.0,0.0,0.0,0.0,83.3,,,,,,,
categorization_analysis_20_bank_messages_20_bank_messages_user_and_assistant_content_20251016_145345.json,20_bank_messages_20_bank_messages_user_and_assistant_content,Bank,user_and_assistant,52,6,"banking, customer support, financial services, security, assistant, other",6,"banking, customer support, financial services, security, assistant, other",5,5,,,,,,0.0,7.1,21.4,35.7,14.3,,,21.4
categorization_analysis_50_HR_messages_only_user_content_20251016_171237.json,50_HR_messages_only_user_content,HR,user_only,100,6,"HR, human resources, employee assistant, appointment scheduling, support, other",6,"HR, human resources, employee assistant, appointment scheduling, support, other",3,5,50.0,30.0,10.0,2.0,2.0,6.0,,,,,,,
categorization_analysis_50_non_HR_messages_user_and_assistant_content_20251016_170211.json,50_non_HR_messages_user_and_assistant_content,HR,user_and_assistant,118,6,"HR, human resources, employee assistant, appointment scheduling, support, other",6,"HR, human resources, employee assistant, appointment scheduling, support, other",54,5,40.0,0.0,20.0,0.0,0.0,40.0,,,,,,,
categorization_analysis_10_HR_messages_10_HR_messages_only_user_content_20251016_145321.json,10_HR_messages_10_HR_messages_only_user_content,HR,user_only,20,6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",3,5,50.0,20.0,10.0,0.0,,10.0,10.0,,,,,,
categorization_analysis_15_HR_messages_15_HR_messages_user_and_assistant_content_20251016_145311.json,15_HR_messages_15_HR_messages_user_and_assistant_content,HR,user_and_assistant,30,6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",6,"HR, human resources, employee assistant, assistant, appointment scheduling, other",7,5,50.0,14.3,14.3,0.0,,7.1,14.3,,,,,,
categorization_analysis_10_HR_messages_only_assestant_content_20251016_182035.json,10_HR_messages_only_assestant_content,HR,unknown,20,6,"HR, human resources, employee assistant, appointment scheduling, support, other",6,"HR, human resources, employee assistant, appointment scheduling, support, other",0,5,50.0,20.0,10.0,0.0,10.0,10.0,,,,,,,
categorization_analysis_15_HR_messages_only_assistant_content_20251016_182209.json,15_HR_messages_only_assistant_content,HR,assistant_only,30,6,"HR, human resources, employee assistant, appointment scheduling, support, other",6,"HR, human resources, employee assistant, appointment scheduling, support, other",0,5,53.3,20.0,13.3,0.0,6.7,6.7,,,,,,,
